MaterialApl;ApplicationORG;ShareSectorApl;SectorAplMatORG;ValorAnadidoSector;SectorAplicacion;GrupoAplicacion
Copper;Components and household;0,22;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Components and household
Copper;Tubes, plates, wire;0,21;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Tubes, plates, wire
Copper;Machinery;0,15;C28 - Manufacture of machinery and equipment n.e.c.;182,59;C28-Machinery &Equipment n.e.c;Industry
Diatomite;Food industry;0,48;C11 - Manufacture of beverages;32,51;C11-beverages ;Foods
Diatomite;Pellettizing iron ore;0,23;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Mining-Extraction
Diatomite;Activated raw granules;0,13;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Activated raw granules
Diatomite;Pet litter;0,07;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Pets
Diatomite;Civil engineering;0,06;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Civil engineering
Diatomite;Drilling fluids;0,02;B09-Mining (support)**;3,40;B09-Mining (support)**;Mining-Extraction
Diatomite;Foundry molding sands;0,01;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Foundry
Dysprosium;Magnets;1,00;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Electrical and Electronics
Erbium;Glass - Optical applications;0,74;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Glass
Erbium;Lighting;0,26;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Electrical and Electronics
Europium;Lighting;1,00;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Electrical and Electronics
Feldspar;Ceramics (tiles, sanitaryware, tableware, glazes);0,45;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Ceramics
Feldspar;Glass (container, float, fiberglass, specialties);0,06;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Glass
Feldspar;Constructions, brick, tiles;0,46;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Building & roads
Feldspar;Others;0,03;Z99-Others;0,00;Z99-Others**;Chemicals
Fluorspar;Steel and iron making;0,36;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Metals-Basics
Fluorspar;Refrigeration and air conditioning;0,09;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Electrical and Electronics
Fluorspar;Refrigeration and air conditioning;0,09;C29 - Manufacture of motor vehicles, trailers and semi-trailers;160,60;C29-MotorVehicle,Trailer&SemiT;Electrical and Electronics
Fluorspar;Aluminium making and other metallurgy;0,15;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Metals-Basics
Fluorspar;Solid fluoropolymers for cookware coating and cable insulation;0,11;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Electrical and Electronics
Fluorspar;Fluorochemicals;0,10;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Fluorspar;UF6 in nuclear uranium fuel;0,06;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Energy (Nuclear)
Fluorspar;HF in alkylation process for oil refining;0,03;C19 - Manufacture of coke and refined petroleum products;17,29;C19-Coke & Refined Petrol. Ps;Energy (Oil)
Gadolinium;Magnets;0,38;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Electrical and Electronics
Gadolinium;Metal (no Battery);0,30;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Metals-Basics
Gadolinium;Lighting;0,25;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Electrical and Electronics
Gadolinium;Magnetic Resonance Imaging - MRI;0,08;C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations;80,18;C21-BasicPharmaceutic.&PhPreps;Electrical and Electronics
Gadolinium;Other;0,00;Z99-Others;0,00;Z99-Others**;Others
Gallium;Integrated circuits;0,70;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Gallium;Lighting;0,25;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Electrical and Electronics
Gallium;CIGS solar cells;0,05;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Energy (Solar)
Germanium;Infrared optics;0,47;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Germanium;Optical fibres;0,40;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Electrical and Electronics
Germanium;Satellite solar cells;0,13;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Energy (Solar)
Germanium;Others;0,00;Z99-Others;0,00;Z99-Others**;Chemicals
Gold;Jewellery;0,86;C32-Other manuf.;39,16;C32-Other manuf.**;Jewelery & others
Gold;Electronics;0,11;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Gold;Other industrial applications;0,02;C32-Other manuf.;39,16;C32-Other manuf.**;Industry
Gold;Dental;0,01;C32-Other manuf.;39,16;C32-Other manuf.**;Others
Gypsum;Plasterboard and Wallboard;0,51;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Building & roads
Gypsum;Building plaster;0,26;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Building & roads
Gypsum;Cement production;0,17;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Building & roads
Gypsum;Agriculture;0,06;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Agriculture
Hafnium;Superalloys;0,61;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Superalloys
Hafnium;Catalyst precursor;0,07;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Catalysts
Hafnium;Plasma cutting tips;0,15;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Tools (Plasma)
Hafnium;Nuclear control rod;0,11;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Energy (Nuclear)
Hafnium;Oxide for Optical;0,03;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Hafnium;Semiconductors;0,03;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Hafnium;Others;0,00;Z99-Others;0,00;Z99-Others**;Chemicals
Helium;Controlled atmospheres;0,23;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Controlled atmospheres
Helium;Cryogenics;0,22;C32-Other manuf.;39,16;C32-Other manuf.**;Cryogenics
Helium;Balloons;0,14;C32-Other manuf.;39,16;C32-Other manuf.**;Balloons
Helium;Pressurisation and purging;0,09;C32-Other manuf.;39,16;C32-Other manuf.**;Industry
Helium;Analysis;0,09;C32-Other manuf.;39,16;C32-Other manuf.**;Analysis
Helium;Welding;0,08;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Industry
Helium;Semiconductors, optic fibres;0,08;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Helium;Leak detection;0,07;C33 - Repair and installation of machinery and equipment;52,33;C33-Repair&install.Machinery-Equip;Detection
Ho, Tm, Lu, Yb;Glass - Optical applications;1,00;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Glass
Hydrogen;Ammonia production;0,50;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Ammonia production
Hydrogen;Refineries;0,30;C19 - Manufacture of coke and refined petroleum products;17,29;C19-Coke & Refined Petrol. Ps;Energy (Oil)
Hydrogen;Methanol production;0,13;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Hydrogen;Metal processing;0,06;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Metals-Basics
Hydrogen;Others;0,01;C32-Other manuf.;39,16;C32-Other manuf.**;Chemicals
Indium;Flat panel displays;0,60;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Indium;Solders;0,11;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Indium;PV cells;0,09;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Energy (Solar)
Indium;Thermal interface material;0,07;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Thermal interface material
Indium;Batteries;0,05;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Batteries
Indium;Alloys/compounds;0,04;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Alloys
Indium;Semiconductors & LEDs;0,03;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Indium;Other;0,00;Z99-Others;0,00;Z99-Others**;Others
Iridium;Electrochemical;0,48;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Electrical and Electronics
Iridium;Other;0,00;C29 - Manufacture of motor vehicles, trailers and semi-trailers;160,60;C29-MotorVehicle,Trailer&SemiT;Others
Iridium;Electronics;0,39;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Iridium;Chemical;0,13;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Iron ore;Steel in Construction;0,35;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Building & roads
Iron ore;Steel in Automotive;0,20;C29 - Manufacture of motor vehicles, trailers and semi-trailers;160,60;C29-MotorVehicle,Trailer&SemiT;Transport (automotive)
Iron ore;Steel in Mechanical engineering;0,15;C28 - Manufacture of machinery and equipment n.e.c.;182,59;C28-Machinery &Equipment n.e.c;Steels
Iron ore;Steel in Metalware;0,14;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Steels
Iron ore;Steel in Tubes;0,11;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Metals-Basics
Iron ore;Steel in Domestic appliances;0,02;C28 - Manufacture of machinery and equipment n.e.c.;182,59;C28-Machinery &Equipment n.e.c;Domestic Prods.
Iron ore;Steel in Other transport;0,02;C30 - Manufacture of other transport equipment;44,30;C30-other transport equipment ;Transport (automotive)
Iron ore;Other;0,00;Z99-Others;0,00;Z99-Others**;Others
Kaolin clay;Ceramics;0,47;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Ceramics
Kaolin clay;Paper;0,29;C17 - Manufacture of paper and paper products;38,91;C17-paper & paper prods. ;Chemicals (Paper)
Kaolin clay;Fiberglass;0,06;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Fiberglass
Kaolin clay;Refractories;0,05;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Industry
Kaolin clay;Catalysts;0,04;C19 - Manufacture of coke and refined petroleum products;17,29;C19-Coke & Refined Petrol. Ps;Catalysts
Kaolin clay;Others;0,04;Z99-Others;0,00;Z99-Others**;Chemicals
Kaolin clay;Paints and adhesives;0,04;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals (Paint, Adhesives)
Kaolin clay;Rubber and plastics;0,01;C22 - Manufacture of rubber and plastic products;75,98;C22-rubber & plastic prods. ;Chemicals(Rubber)
Kaolin clay;Cement;0,01;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Building & roads
Lanthanum;Fluid Cracking Catalysts;0,67;C19 - Manufacture of coke and refined petroleum products;17,29;C19-Coke & Refined Petrol. Ps;Energy (Oil)
Lanthanum;Glass&Ceramics;0,13;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Ceramics & Frits
Lanthanum;Batteries;0,10;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Batteries
Lanthanum;Polishing powders;0,05;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Electrical and Electronics
Lanthanum;Metal (no Battery);0,03;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Metals-Basics
Lanthanum;Lighting;0,02;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Electrical and Electronics
Lead;Batteries;0,84;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Batteries
Lead;Rolled and extruded products;0,06;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Metals-Basics
Lead;Lead compounds;0,04;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Alloys
Lead;Shot/ammunition;0,04;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Defense
Lead;Cable sheathing;0,01;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Cable sheathing
Lead;Alloys and solders;0,01;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Alloys
Limestone;Cement & concrete, plaster & mortar, roadworks;0,31;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Building & roads
Limestone;Manufacture of basic metals;0,08;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Basic metals
Limestone;Paper, plastics and rubber;0,31;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Limestone;Agriculture;0,05;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Agriculture
Limestone;Others (Glass & ceramics,chemicals, water treatment);0,06;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Others
Limestone;Paint, coating, adhesives;0,06;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals (Paint, Adhesives)
Limestone;Flue Gas Desulfurisation;0,09;E39 - Remediation activities and other waste management services;1,30;E39-Remed.Activs &Waste MngSrvs;Chemicals
Limestone;Feed;0,04;C10 - Manufacture of food products;155,88;C10-food prods. ;Foods
Lithium;Glass and ceramics;0,66;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Glass
Lithium;Lubricating greases;0,09;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Lubricants
Lithium;Cement production;0,09;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Building & roads
Lithium;Steel casting;0,05;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Metals-Basics
Lithium;Pharmaceutical products;0,04;C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations;80,18;C21-BasicPharmaceutic.&PhPreps;Pharmacy
Lithium;Rubber and plastics production;0,04;C22 - Manufacture of rubber and plastic products;75,98;C22-rubber & plastic prods. ;Chemicals(Rubber)
Lithium;Al-Li alloys;0,02;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-fabricated metal prods., ;Alloys
Lithium;Batteries;0,01;C27 - Manufacture of electrical equipment;80,75;C27-electrical equipment ;Batteries
Magnesite;Steel making;0,57;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Metals-Basics
Magnesite;Paper industry;0,12;C17 - Manufacture of paper and paper products;38,91;C17-paper & paper prods. ;Chemicals (Paper)
Magnesite;Cement making;0,09;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Building & roads
Magnesite;Agriculture (1 of 2);0,07;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Agriculture
